Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Rēkohou	1	3.801498120082627	-1.6381173279417232	-1.1987217121124083	-4.624416903981644	1.8314041999217812	2	0.7934227043399158	0.7071070522532353	2	-0.2135147250432292	-0.6780516031245096	-0.7111920147520504	-2.574070931451198	2.634229588161559	2.1633166717235865
Sāmoa	1	-0.16053588115878736	0.4633796357719734	-0.5986736511579167	0.4505419745508781	-0.48831905523384705	3	1.3399605602644216	1.1789248317483336	10	-0.2329839197840707	-0.6933433331083025	-0.73143288440815	0.15028516944833922	-0.7879171818999077	0.972201904272171
Tahiti	1	0.20452396036920115	-0.20714770432213625	-0.3667601233327757	0.1826585014386847	-0.10787432997919325	3	1.1995753453192706	1.3464651192463692	4	-0.189914430490894	-0.5640562966573258	-0.5625749971018306	-0.17869619828373803	-0.4091769926485919	0.5554266070214797
Te Henua ‘Enana	1	-0.8576025658511668	-0.5206510127202022	3.454936590694375	0.3943021464646399	-0.9018516455523068	1	0.7805387872687685	0.8228894083689359	4	-0.1935369854624788	-0.6430066584101916	-0.6650691883903939	-0.20072976778637477	-1.9508484539122888	-2.525120635147012
Tikopia	1	-0.3999056750952622	0.9520169522213504	-0.748126290988788	0.5530625697514749	-0.518383035524131	2	-1.4551341234513568	-1.5950774915420585	11	-0.04392028782915087	1.985943052603544	1.963979944140018	1.2330333136561349	1.512187770222616	-0.4019825395297052
Tokelau	1	-0.8098508293156061	1.7793055670467108	-1.4032658655833037	0.7013179061326426	-1.276020629666338	2	-1.0203451076505188	-0.5077719690010277	3	0.12589403563569437	1.985900705653602	1.963936852561965	1.7553896971207155	1.3327831220728532	0.3779500369066371
Tonga	1	0.5738951040122618	-0.9252002569772116	0.3708262251087829	-0.321560780220014	0.8674511457381512	3	1.096804972318333	1.4774920311753257	10	-0.15486452129569345	-0.7633376601031291	-0.8253473041235493	-0.8707154132232445	-0.3309870151809735	-0.07406001571482933
Tuamotu	1	0.21472968531864628	-0.2612202112414156	-0.5080748560583286	0.1484576600089437	-0.14913010419177303	2	1.4364981258778848	2.366605345736219	4	-0.09765849593448188	-0.6532183175316626	-0.6772222467724466	-0.20965702420053237	-0.45024467802600443	0.7234522620625792
Tupuai	1	1.0599994054285726	-0.99774410579206	-0.5326007395665805	-0.9078684713260547	1.2226040998737295	2	-0.48313472716878114	-0.6736526867631691	3	-0.19331352160243023	-0.2340078993947448	-0.1538160542701009	-0.8965807874963272	0.8280013990576699	0.3979163737930793
Ulithi (greater)	1	-0.7166296517805828	0.8000526193722866	-0.8712658047763089	0.6602111857116493	-1.1431231714548888	2	-0.5564720550986169	-0.00299572137929319	8	0.02014009196744982	-0.20490552843481127	-0.26539347682444897	0.7102923980261305	-0.6359663094039124	0.9730116987383612
Uvea (Wallis)	1	-0.2659887831661725	0.7687495794397944	-0.8308673842904565	0.5303036960088912	-0.5760461742836313	2	-0.32031858753187514	-0.3823896824527999	9	-0.16920706058712912	-0.2340300604005885	-0.15384194799935288	0.4657343280065955	-0.35800423045195073	0.9187955458422531
Woleai	1	-1.0290148589917072	1.4362902491751568	-0.9223091314352456	0.69380721429839	-1.3180642769640056	2	-1.237009152724606	-0.8278564099030511	7	0.17068816229130346	1.9858865900036211	1.963922488702614	1.6913682171193276	1.1763267730079219	-0.12331533741291381
Yap	1	-0.7636124207954027	0.9570438460562454	-1.0276695370167523	0.6691673204559418	-1.1737763195926794	3	-0.6776543987462262	-0.741413178662157	9	-0.1436545338439985	1.985943052603544	1.963979944140018	1.5070063552740247	1.351177730099253	-0.16752854607089696
