term	variable	value
simo_moSettlement_date_grouping_finer1[6]	straddle_zero	no
simo_moSettlement_date_grouping_finer1[7]	straddle_zero	no
simo_moSettlement_date_grouping_finer1[8]	straddle_zero	no
simo_moSettlement_date_grouping_finer1[9]	straddle_zero	no
simo_moSettlement_date_grouping_finer1[10]	straddle_zero	no
simo_moEA033:Shoreline1[1]	straddle_zero	no
simo_moEA033:Shoreline1[2]	straddle_zero	no
simo_moEA033:Shoreline1[3]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[1]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[2]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[3]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[4]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[5]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[6]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[7]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[8]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[9]	straddle_zero	no
simo_moSettlement_date_grouping_finer:Shoreline1[10]	straddle_zero	no
r_phylo_id[Ānewetak,Intercept]	straddle_zero	yes
r_phylo_id[Aotearoa,Intercept]	straddle_zero	yes
r_phylo_id[Banaba,Intercept]	straddle_zero	yes
r_phylo_id[Bellona.+.Rennelle,Intercept]	straddle_zero	yes
r_phylo_id[Chuuk,Intercept]	straddle_zero	yes
r_phylo_id[East.Futuna,Intercept]	straddle_zero	yes
r_phylo_id[Fiji,Intercept]	straddle_zero	yes
r_phylo_id[Hawaii,Intercept]	straddle_zero	yes
r_phylo_id[Hereheretue,Intercept]	straddle_zero	yes
r_phylo_id[Kanaky,Intercept]	straddle_zero	yes
r_phylo_id[Kapingamarangi,Intercept]	straddle_zero	yes
r_phylo_id[Kosrae,Intercept]	straddle_zero	yes
r_phylo_id[Laguas.yan.gåni,Intercept]	straddle_zero	yes
r_phylo_id[Luangiua.+.Nukumanu,Intercept]	straddle_zero	yes
r_phylo_id[Mangaia,Intercept]	straddle_zero	yes
r_phylo_id[Mangareva,Intercept]	straddle_zero	yes
r_phylo_id[Māngarongaro,Intercept]	straddle_zero	yes
r_phylo_id[Marutea,Intercept]	straddle_zero	yes
r_phylo_id[Morane,Intercept]	straddle_zero	yes
r_phylo_id[Napuka,Intercept]	straddle_zero	yes
r_phylo_id[Ngā.Pū.Toru,Intercept]	straddle_zero	yes
r_phylo_id[Ngatik,Intercept]	straddle_zero	yes
r_phylo_id[Niu.+.Tuvalu,Intercept]	straddle_zero	yes
r_phylo_id[Niue,Intercept]	straddle_zero	yes
r_phylo_id[Nukuoro,Intercept]	straddle_zero	yes
r_phylo_id[Nukutaveke.59,Intercept]	straddle_zero	yes
r_phylo_id[Nukutaveke.61,Intercept]	straddle_zero	yes
r_phylo_id[Palau,Intercept]	straddle_zero	yes
r_phylo_id[Pohnpei,Intercept]	straddle_zero	yes
r_phylo_id[Pukapuka,Intercept]	straddle_zero	yes
r_phylo_id[Raivavae,Intercept]	straddle_zero	yes
r_phylo_id[Rakahanga-Manihiki,Intercept]	straddle_zero	yes
r_phylo_id[Rapa.Nui,Intercept]	straddle_zero	yes
r_phylo_id[Raro.Matai.+.Nia.Matai,Intercept]	straddle_zero	yes
r_phylo_id[Rarotonga,Intercept]	straddle_zero	yes
r_phylo_id[Ratak.+.Rālik,Intercept]	straddle_zero	yes
r_phylo_id[Rēkohou,Intercept]	straddle_zero	yes
r_phylo_id[Rimatara,Intercept]	straddle_zero	yes
r_phylo_id[Rotuma,Intercept]	straddle_zero	yes
r_phylo_id[Rurutu,Intercept]	straddle_zero	yes
r_phylo_id[Sāmoa,Intercept]	straddle_zero	yes
r_phylo_id[Sorol,Intercept]	straddle_zero	yes
